25/01/2015;0.1;-0.3;0.01;7.566666666666666;17.15;9.583333333333332
26/01/2015;8.3;1.7;0.00;7.533333333333333;17.183333333333334;9.65
27/01/2015;0.0;2.6;0.00;7.516666666666667;17.216666666666665;9.7
28/01/2015;6.6;2.5;0.00;7.5;17.25;9.75
29/01/2015;0.3;2.4;0.00;7.466666666666667;17.266666666666666;9.799999999999999
30/01/2015;0.3;1.5;0.00;7.433333333333334;17.3;9.866666666666667
31/01/2015;1.6;1.3;0.00;7.416666666666667;17.333333333333332;9.916666666666664
01/02/2015;0.8;1.3;0.00;7.383333333333334;17.366666666666667;9.983333333333334
02/02/2015;1.0;-1.0;0.00;7.35;17.4;10.049999999999999
03/02/2015;0.0;-3.3;0.01;7.333333333333333;17.433333333333334;10.100000000000001
04/02/2015;0.0;-2.0;0.00;7.3;17.466666666666665;10.166666666666664
05/02/2015;0.0;-1.3;0.00;7.266666666666667;17.5;10.233333333333334
06/02/2015;0.2;-2.0;0.00;7.233333333333333;17.533333333333335;10.3
07/02/2015;0.0;3.6;0.00;7.216666666666667;17.566666666666666;10.35
08/02/2015;0.3;1.7;0.00;7.183333333333334;17.6;10.416666666666668
09/02/2015;0.0;4.1;0.00;7.15;17.633333333333333;10.483333333333333
10/02/2015;0.0;3.9;0.00;7.116666666666666;17.666666666666668;10.55
11/02/2015;0.0;2.2;0.00;7.083333333333333;17.7;10.616666666666667
12/02/2015;0.0;1.5;0.00;7.05;17.733333333333334;10.683333333333334
13/02/2015;0.0;0.3;0.00;7.016666666666667;17.766666666666666;10.75
14/02/2015;0.0;0.8;0.00;6.983333333333333;17.8;10.816666666666666
15/02/2015;0.0;2.7;0.00;6.95;17.833333333333332;10.883333333333333
16/02/2015;0.0;1.6;0.00;6.9;17.866666666666667;10.966666666666667
17/02/2015;0.0;1.2;0.00;6.866666666666667;17.9;11.033333333333331
18/02/2015;0.0;4.2;0.00;6.833333333333333;17.933333333333334;11.100000000000001
19/02/2015;0.0;2.0;0.00;6.8;17.966666666666665;11.166666666666664
20/02/2015;6.8;2.9;0.00;6.766666666666667;18.0;11.233333333333334
21/02/2015;4.5;3.9;0.00;6.716666666666667;18.033333333333335;11.316666666666668
22/02/2015;0.0;3.3;0.00;6.683333333333334;18.066666666666666;11.383333333333333
23/02/2015;2.5;2.8;0.00;6.65;18.1;11.450000000000001
24/02/2015;0.5;4.1;0.00;6.616666666666667;18.15;11.533333333333331
25/02/2015;0.0;2.8;0.00;6.566666666666666;18.183333333333334;11.616666666666667
26/02/2015;0.0;2.4;0.00;6.533333333333333;18.216666666666665;11.683333333333332
27/02/2015;0.0;3.2;0.00;6.5;18.25;11.75
28/02/2015;0.0;2.7;0.00;6.45;18.283333333333335;11.833333333333336
01/03/2015;3.3;3.2;0.00;6.416666666666667;18.316666666666666;11.899999999999999
02/03/2015;2.7;3.3;0.00;6.366666666666666;18.35;11.983333333333334
03/03/2015;1.3;3.7;0.00;6.333333333333333;18.383333333333333;12.05
04/03/2015;0.2;2.9;0.00;6.283333333333333;18.416666666666668;12.133333333333335
05/03/2015;0.0;3.4;0.00;6.25;18.45;12.2
06/03/2015;3.6;4.9;0.00;6.2;18.483333333333334;12.283333333333335
07/03/2015;0.0;6.5;0.00;6.166666666666667;18.516666666666666;12.349999999999998
08/03/2015;0.0;6.9;0.00;6.116666666666666;18.55;12.433333333333334
09/03/2015;0.2;6.8;0.00;6.083333333333333;18.583333333333332;12.5
10/03/2015;0.0;7.0;0.00;6.033333333333333;18.616666666666667;12.583333333333334
11/03/2015;0.0;6.6;0.00;6.0;18.65;12.649999999999999
12/03/2015;0.0;3.3;0.00;5.95;18.683333333333334;12.733333333333334
13/03/2015;0.0;3.4;0.00;5.916666666666667;18.716666666666665;12.799999999999997
14/03/2015;0.0;3.7;0.00;5.866666666666667;18.75;12.883333333333333
15/03/2015;0.0;4.2;0.00;5.833333333333333;18.783333333333335;12.950000000000003
16/03/2015;0.0;6.5;0.00;5.783333333333333;18.816666666666666;13.033333333333333
17/03/2015;0.0;6.9;0.00;5.733333333333333;18.85;13.116666666666667
18/03/2015;0.0;6.6;0.00;5.7;18.883333333333333;13.183333333333334
19/03/2015;0.0;5.3;0.00;5.65;18.916666666666668;13.266666666666667
20/03/2015;2.7;3.2;0.00;5.6;18.95;13.35
21/03/2015;1.6;2.8;0.00;5.566666666666666;18.983333333333334;13.416666666666668
22/03/2015;0.0;-0.3;0.00;5.516666666666667;19.033333333333335;13.51666666666667
23/03/2015;0.2;4.6;0.00;5.466666666666667;19.066666666666666;13.6
24/03/2015;0.0;5.2;0.00;5.433333333333334;19.1;13.666666666666668
25/03/2015;0.0;4.6;0.00;5.383333333333334;19.133333333333333;13.75
26/03/2015;0.4;5.8;0.00;5.333333333333333;19.166666666666668;13.833333333333336
27/03/2015;0.0;4.6;0.00;5.3;19.2;13.899999999999999
28/03/2015;9.4;4.9;0.00;5.25;19.233333333333334;13.983333333333334
29/03/2015;24.6;7.6;0.00;6.2;20.266666666666666;14.066666666666666
30/03/2015;2.5;5.9;0.00;6.166666666666667;20.3;14.133333333333333
31/03/2015;5.1;3.7;0.00;6.116666666666666;20.333333333333332;14.216666666666665
01/04/2015;0.4;4.7;0.00;6.066666666666666;20.366666666666667;14.3
02/04/2015;0.0;4.0;0.00;6.033333333333333;20.416666666666668;14.383333333333335
03/04/2015;0.0;4.8;0.00;5.983333333333333;20.45;14.466666666666665
04/04/2015;1.3;3.0;0.00;5.933333333333334;20.483333333333334;14.55
