Representativt dygn;Lufttemperatur
09/11/2015;11.3
10/11/2015;13.1
11/11/2015;12.2
12/11/2015;11.0
13/11/2015;9.7
14/11/2015;7.2
15/11/2015;4.9
16/11/2015;7.8
17/11/2015;8.7
18/11/2015;10.2
19/11/2015;8.0
20/11/2015;3.6
21/11/2015;-0.0
22/11/2015;0.9
23/11/2015;-2.7
24/11/2015;3.5
25/11/2015;4.1
26/11/2015;3.9
27/11/2015;4.7
28/11/2015;4.7
29/11/2015;6.4
30/11/2015;5.6
01/12/2015;5.2
02/12/2015;6.4
03/12/2015;8.5
04/12/2015;7.3
05/12/2015;8.7
06/12/2015;9.4
07/12/2015;5.3
08/12/2015;6.7
09/12/2015;7.3
10/12/2015;6.6
11/12/2015;6.3
12/12/2015;4.8
13/12/2015;2.6
14/12/2015;-0.4
15/12/2015;2.0
16/12/2015;2.9
17/12/2015;7.9
18/12/2015;8.7
19/12/2015;9.5
20/12/2015;9.0
21/12/2015;8.9
22/12/2015;9.5
23/12/2015;8.9
24/12/2015;6.0
25/12/2015;7.0
26/12/2015;4.0
27/12/2015;6.1
28/12/2015;3.0
29/12/2015;2.8
30/12/2015;2.0
31/12/2015;1.2
01/01/2016;3.3
02/01/2016;-1.7
03/01/2016;-4.7
04/01/2016;-3.6
05/01/2016;-4.0
06/01/2016;-5.3
07/01/2016;-3.9
08/01/2016;0.2
09/01/2016;0.6
10/01/2016;1.1
11/01/2016;1.1
12/01/2016;2.0
13/01/2016;-1.9
14/01/2016;-3.0
15/01/2016;-5.8
16/01/2016;-7.8
